10 barrel,Joe IPA,IPA,6.9%,Bend,OR,0,0,0,,,
10 barrel,Pray For Snow,Strong Ale,7%,Bend,OR,0,0,0,,,
1911 Hard Cider,Cinnamon,Cider,5.5%,Lafayette,NY,0,0,0,,,
1911 Hard Cider,Blueberry,Cider,5.5%,Lafayette,NY,0,0,0,,,
1911 Hard Cider,Raspberry,Cider,5.5%,Lafayette,NY,0,0,0,,,
1911 Hard Cider,Apple,Cider,5.5%,Lafayette,NY,0,0,0,,,
21st Amendment,Sneak Attack,Saison Farmhouse,6.2%,San Francisco,CA,0,0,0,,Saison / Farmhouse Ale,6.2%
21st Amendment,El Sully,Am. Lager,4.8%,San Francisco,CA,0,0,0,,American Light Lager,4.9%
21st Amendment,Taoster Pastery,Red IPA,7.6%,San Francisco,CA,0,0,0,,,
21st Amendment,Brew Free or Die,Am. IPA,7%,San Francisco,CA,0,0,0,,,
412 Brewery,2 Hour Delay,Honey Brown Ale,8.6%,Pittsburgh,PA,0,0,0,,,
412 Brewery,R-U ready 4 one too,ESB,N/A,Pittsburgh,PA,0,0,0,,,
Abita,Wrought Iron,Am. IPA,6.9%,Abita Springs,LA,0,0,0,,American IPA,6.9%
Abita,Purple Haze,Fruit/ Veg,4.2%,Abita Springs,LA,0,0,0,,Fruit Beer,4.2%
Abita,Amber,Vienna Lager,4.5%,Abita Springs,LA,0,0,0,,American Amber / Red Lager,4.5%
Abita,Orange Harvest,,N/A,Abita Springs,LA,0,0,0,,,
Ace,Pear ,Cider,5%,Sebastopol,CA,0,0,0,,Cider,5%
Ace,Apple,Cider,5%,Sebastopol,CA,0,0,0,,Cider,5%
Ace,Pineapple,Cider,5%,Sebastopol,CA,0,0,0,,Cider,5%
Ace,Joker,Cider,6.9%,Sebastopol,CA,0,0,0,,Cider,6.9%
Alesmith,IPA,Am. IPA,7.2%,San Diego,CA,0,0,0,,,
Alesmith,Speedway,Imp. Stout,12%,San Diego,CA,0,0,0,,,
Alltech's Lexington Brewing Co.,Kentucky Bourbon Barrel Ale,Barrel-Aged Ale,8.2%,Lexington,KY,0,0,0,,,
Alltech's Lexington Brewing Co.,Kentucky Bourbon Barrel Stout,Barrel-Aged Stout,8%,Lexington,KY,0,0,0,,,
Alltech's Lexington Brewing Co.,Kentucky Bourbon Barrel Blackberry Porter,Barrle-aged Porter,8%,Lexington,KY,0,0,0,,,
Alltech's Lexington Brewing Co.,Kentucky Vanilla Barrel Cream Ale,Barrel-AgedCream Ale,10%,Lexington,KY,0,0,0,,,
Alpine Beer Co.,Willy Vanilly,Vanilla Wheat Ale,5.7%,San Diego,CA,0,0,0,,,
Alpine Beer Co.,Duet IPA,IPA,7%,San Diego,CA,0,0,0,,,
Alpine Beer Co.,Hoppy Birthday,Pale Ale,5%,San Diego,CA,0,0,0,,,
Alpine Beer Co.,Windows Up,IPA,7%,San Diego,CA,0,0,0,,,
Anchor,Liberty IPA,Am. IPA,6.3%,San Francisco,CA,0,0,0,,,
Anchor,Mango Wheat,Fruit/Veg,4.5%,San Francisco,CA,0,0,0,,,
Anderson Valley,Wild Turkey BBA Stout,Oatmeal Stout,8.3%,Boonville,CA,0,1,0,,,
Anderson Valley,EEEEE TAH!,DIPA,7.8%,Boonville,CA,0,0,0,,,
Anderson Valley,Briney Melon Gose,Gose,4.2%,Boonville,CA,0,0,0,,Gose Sour,4.2%
Anderson Valley,Horse Tongue,Am. Wild Ale,5.3%,Boonville,CA,0,0,0,,American Wild Ale,5.4%
Arcadia Ales,Hop Rocket,Quad,10%,Battlecreek,MI,0,0,0,,,
Arcadia Ales,Porter Rico,Coconut Porter,5.5%,Battlecreek,MI,0,0,0,,,
Arsonal Cider,Picket Bone Dry ,Cider,8%,Pittsburgh,PA,0,0,0,,,
Arsonal Cider,Ginger,Cider,8%,Pittsburgh,PA,0,0,0,,,
Atwater,Pumpkin Latte,DIPA,8%,Detroit,MI,0,0,0,,,
Atwater,Vanilla Porter,Am. Porter,4.8%,Detroit,MI,0,0,0,,,
Avery,White Rascal,Witbier,5.6%,Boulder ,CO,0,0,0,,Witbier,5.6%
Avery,IPA,Am. IPA,6.5%,Boulder ,CO,0,0,0,,American IPA,6.5%
Avery,El Gose,Gose,4.5%,Boulder ,CO,0,0,0,,Gose Sour,4.5%
Ayinger ,Brauweisse,Hefeweizen,5.1%,Aying ,Ger,0,0,0,,,
Battlefield Brew Works,Fishing Church,IPA,5.2%,Gettysburg ,PA,0,0,0,,,
Battlefield Brew Works,Double Chocolate Bock,Bock,7.6%,Gettysburg ,PA,0,0,0,,,
Bells,Hop Slam,DIPA,10%,Kalamazoo,MI,0,1,0,,,
Bells,Oarsman,Berliner Weiss,4%,Kalamazoo,MI,0,0,0,,,
Bells,Two Hearted,Am. IPA,7%,Kalamazoo,MI,0,0,0,,,
Bells,Double Cream,Am. Stout,6.1%,Kalamazoo,MI,0,0,0,,,
Bells,Smitten,Rye Pale,6%,Kalamazoo,MI,0,0,0,,,
Boulder,Pulp Fusion,Am. IPA,6.5%,Boulder,CO,0,0,0,,,
Boulder,Irish Blessing,,N/A,Boulder,CO,0,0,0,,,
Boulder,Slope Style IPA,Am. IPA,6.4%,Boulder,CO,0,0,0,,,
Boulevard,The Calling,DIPA,8.5%,Kansas City,MO,0,0,0,,Double IPA,8.5%
Boulevard,Tank 7,Saison/Farmhouse,8.5%,Kansas City,MO,0,0,0,,Saison / Farmhouse Ale,8.5%
Boulevard,Early Riser,Coffee Porter,5%,Kansas City,MO,0,0,0,,American Porter,5%
Boulevard,Tell Tale Tart,Am. Wild,6.2%,Kansas City,MO,0,0,0,,,
Breckenridge,Nitro Van Porter,Porter,5.4%,Breck,CO,0,0,0,,,
Breckenridge,Agave Wheat,Spiced/ Fruit Beer,4.2%,Breck,CO,0,0,0,,American Pale Wheat Ale,4.4%
Brooklyn,Black Ops,RIS,10.5%,Brooklyn,NY,1,0,0,,Russian Imperial Stout,11.6%
Brooklyn,Bel Aire,Am. Wild,5.8%,Brooklyn,NY,0,0,0,,,
Brooklyn,Blast,DIPA,8.4%,Brooklyn,NY,0,0,0,,Double IPA,8.4%
Brooklyn,Defender,Am. IPA,6.7%,Brooklyn,NY,0,0,0,,,
Brooklyn,Sorachi Ace,Saison/Farmhouse,7.5%,Brooklyn,NY,0,0,0,,Saison / Farmhouse Ale,7.2%
Bullfrog Brewery,Hopsyphycation,Pale Ale,6%,Williamsport,PA,0,0,0,,,
Bullfrog Brewery,Edgar IPA,IPA,7.5%,Williamsport,PA,0,0,0,,,
Cascade,Cranberry,Sour Ale,7%,Portland,OR,1,0,0,,,
Cascade,Strawberry,Sour Ale,7.1%,Portland,OR,1,0,0,,,
Church Brew Works,Pious Monk Dunkel,Munich Dunkel Lager,4.3%,Pittsburgh,PA,0,0,1,,,
Church Brew Works,20th Anni,,N/A,Pittsburgh,PA,0,0,0,,,
Church Brew Works,NE IPA,Am. IPA,N/A,Pittsburgh,PA,0,0,0,,,
Church Brew Works,Pants Suit ,Rasp. Berliner Weiss,N/A,Pittsburgh,PA,0,0,0,,,
Church Brew Works,Red Wine Trippel,BA Trippel,N/A,Pittsburgh,PA,0,0,0,,,
Church Brew Works,Renegade,Am. Stout,6%,Pittsburgh,PA,0,0,0,,,
Church Brew Works,Millennium Triple,Triple,9%,Pittsburgh,PA,0,0,0,,,
Clarion River Brewery,TBD,,N/A,Pittsburgh,PA,0,0,0,,,
Clarion River Brewery,TBD,,N/A,Pittsburgh,PA,0,0,0,,,
Coal Tipple Brewery,Fossil Fuel,Irish Pub Stout,4.5%,Pittsburgh,PA,0,0,0,,,
Coal Tipple Brewery,16 Tons,Am. Strong Ale,7.5%,Pittsburgh,PA,0,0,0,,,
Crispin ,Black Berry,Cider,5.5%,Colfax,CA,0,0,0,,,
Crispin Original,Apple,Cider,5.5%,Colfax,CA,0,0,0,,,
Dark Horse Brewing Co.,Too nilla,Van. Coffee Stout,7.5%,Marshall,MI,0,1,0,,,
Dark Horse Brewing Co.,Crooked Tree IPA,IPA,6.5%,Marshall,MI,0,0,0,,American IPA,6.5%
Dark Horse Brewing Co.,Rain in Blood,Blood Orange IPA,6.5%,Marshall,MI,0,0,0,,American Pale Ale,5%
Dark Horse Brewing Co.,One Oatmeal Stout,Stout,7.5%,Marshall,MI,0,0,0,,Oatmeal Stout,7%
De Troch,Kriek Lambicx,Lambic,3.5%,Belgium,,1,0,0,,,
Deschutes,Abyss,Imp. Stout,12.2%,Bend,OR,1,0,0,,American Double Stout,11%
Deschutes,Brandy - Abyss,Imp. Stout,13.2%,Bend,OR,1,0,0,,,
Deschutes,Pine Drops,Am. IPA,6.5%,Bend,OR,0,0,0,,,
Deschutes,Armory XPA,APA,5.9%,Bend,OR,0,0,0,,,
Deschutes,Sage Fight,DIPA,8%,Bend,OR,0,0,0,,,
Deschutes,Fresh Squeezed IPA,IPA,6.4%,Bend,OR,0,0,0,,American IPA,6.4%
Devils Backbone,Striped Bass,APA,5%,Lexington,VA,0,1,0,,,
Devils Backbone,Viena Lager,Lager,5.2%,Lexington,VA,0,0,0,,,
Doc G's,Insidious,DIPA,9.3%,Dubois,PA,0,0,0,,,
Doc G's,Orange Blossom,Hefeweizen,4.8%,Dubois,PA,0,0,0,,,
Dogfish Head,Red & White,Witbier,10%,Milton,DE,1,0,0,,,
Dogfish Head,120 Minute IPA,DIPA,18%,Milton,DE,0,1,0,,Double IPA,18%
Dogfish Head,Sick Cider,Brett Cider,6.5%,Milton,DE,0,1,0,,,
Dogfish Head,90 min.,DIPA,9%,Milton,DE,0,0,0,,,
Dogfish Head,Sea-quench-aqle,Gose,4.9%,Milton,DE,0,0,0,,,
Dogfish Head,Flesh and blood,Blood Orange IPA,7.5%,Milton,DE,0,0,0,,,
Dogfish Head,Beer to Drink Music to,Tropical Blond,9%,Milton,DE,0,0,0,,Belgian Tripel,9%
Du Claw,865 Coffee Stout,Am. Stout,6.9%,Baltimore,MD,0,0,0,,,
Du Claw,Guilty Soul,Imp. Choco. Rye,7.7%,Baltimore,MD,0,0,0,,,
Du Claw,For Peats Sake,Imp. Choco Peanut Porter,9%,Baltimore,MD,0,0,0,,,
Duck Rabbit Brewery,Milk Stout,Milk Stout,5.7%,Farmville,NC,0,0,0,,,
Duck Rabbit Brewery,Hoppy Bunny,Am. Black Ale,7.3%,Farmville,NC,0,0,0,,,
DuPont/ Lost Coast,DuPont Deux Amis,Saison/ Farmhouse,7%,Belgium,,1,0,0,,,
East End,Eye OPener,Coffee Porter,6.8%,Pittsburgh,PA,0,0,0,,,
East End,Cream Ale,Cream Ale,N/A,Pittsburgh,PA,0,0,0,,,
